channel_detector,equalizer_iterations,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
bcjr_2d_equalized,1,log10_fsr_linear_vs_snr,8,12.5,16.0,0.0032258064516129032,0.55,-0.6858186944467147,8.508481441511345,0.9844726378913298,,0.01,-2.0,15.322535717678385,-0.6774642823216155
bcjr_2d_equalized,1,log10_fsr_linear_vs_snr,8,12.5,16.0,0.0032258064516129032,0.55,-0.6858186944467147,8.508481441511345,0.9844726378913298,,0.001,-3.0,16.78064703499491,0.7806470349949102
bcjr_2d_equalized,1,log10_fsr_linear_vs_snr,8,12.5,16.0,0.0032258064516129032,0.55,-0.6858186944467147,8.508481441511345,0.9844726378913298,,0.0001,-4.0,18.23875835231144,2.2387583523114394
bcjr_2d_equalized,2,log10_fsr_linear_vs_snr,7,12.0,15.0,0.0033333333333333335,0.5590909090909091,-0.7789840344821938,9.03739551370475,0.9399693779444667,,0.01,-2.0,14.16896242429606,-0.8310375757039399
bcjr_2d_equalized,2,log10_fsr_linear_vs_snr,7,12.0,15.0,0.0033333333333333335,0.5590909090909091,-0.7789840344821938,9.03739551370475,0.9399693779444667,,0.001,-3.0,15.45268578155937,0.4526857815593708
bcjr_2d_equalized,2,log10_fsr_linear_vs_snr,7,12.0,15.0,0.0033333333333333335,0.5590909090909091,-0.7789840344821938,9.03739551370475,0.9399693779444667,,0.0001,-4.0,16.73640913882268,1.7364091388226797
