iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.0,log10_fsr_linear_vs_snr,4,14.0,17.0,0.002,0.7,-0.8607844787191365,12.043812933012417,0.9805543618142996,,1e-08,-8.0,23.285518534021417,6.285518534021417
0.0,log10_fsr_linear_vs_snr,4,14.0,17.0,0.002,0.7,-0.8607844787191365,12.043812933012417,0.9805543618142996,,1e-09,-9.0,24.447249518632127,7.447249518632127
0.0,log10_fsr_linear_vs_snr,4,14.0,17.0,0.002,0.7,-0.8607844787191365,12.043812933012417,0.9805543618142996,,1e-10,-10.0,25.60898050324284,8.60898050324284
0.2,log10_fsr_linear_vs_snr,4,21.0,24.0,0.0016,0.362,-0.80084377067655,16.458119141284385,0.9945919701851929,,1e-08,-8.0,30.540437519570457,6.540437519570457
0.2,log10_fsr_linear_vs_snr,4,21.0,24.0,0.0016,0.362,-0.80084377067655,16.458119141284385,0.9945919701851929,,1e-09,-9.0,31.78912051694859,7.789120516948589
0.2,log10_fsr_linear_vs_snr,4,21.0,24.0,0.0016,0.362,-0.80084377067655,16.458119141284385,0.9945919701851929,,1e-10,-10.0,33.03780351432672,9.037803514326718
