family,rate,iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
ldpc+mtr2d_8x2,0.9010416666666669,0.0,21.0,0,500,0,16386560,44.521532,0.0,0.0,0.006
ldpc+mtr2d_8x2,0.9010416666666669,0.0,22.0,0,500,0,16386560,44.690375,0.0,0.0,0.006
ldpc+mtr2d_8x2,0.9010416666666669,0.2,8.0,10000,10000,63497617,327731200,18476.810215,1.0,0.1937490754618419,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,10.0,10000,10000,42139359,327731200,18964.805454,1.0,0.12857902756893455,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,12.0,10000,10000,24038089,327731200,18975.694008,1.0,0.07334696543997031,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,14.0,10000,10000,10518405,327731200,18891.950838,1.0,0.03209460985099984,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,18.0,500,500,34105,16386560,923.678686,1.0,0.0020812788040931104,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,20.0,2006,2500,23982,81925880,4402.099088,0.8024,0.00029272801219834316,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,21.0,724,2000,5154,65539320,2707.0436090000003,0.362,7.863981499960634e-05,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,22.0,324,3500,1987,114695540,2007.544607,0.09257142857142857,1.7324126116848134e-05,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,22.25,62,1000,513,32769660,412.31854,0.062,1.565472452262245e-05,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,22.5,28,1000,163,32769660,268.323339,0.028,4.974113249878088e-06,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,22.75,28,1000,180,32769660,235.750111,0.028,5.492885797411386e-06,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,23.0,30,3000,153,98308980,415.31697499999996,0.01,1.5563176425998927e-06,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,23.25,4,1000,17,32769660,113.956714,0.004,5.187725475332976e-07,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,23.5,6,1000,31,32769660,125.944549,0.006,9.459969984430721e-07,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,23.75,3,1000,18,32769660,109.063649,0.003,5.492885797411386e-07,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,24.0,5,3500,38,114695540,333.097905,0.0014285714285714286,3.3131192372432266e-07,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,24.25,1,1000,2,32769660,97.001455,0.001,6.103206441568206e-08,
ldpc+mtr2d_8x2,0.9010416666666669,0.2,24.5,0,1000,0,32769660,89.740459,0.0,0.0,0.003
ldpc+mtr2d_8x2,0.9010416666666669,0.2,25.0,0,2000,0,65539320,167.792196,0.0,0.0,0.0015
ldpc+mtr2d_8x2,0.9010416666666669,0.2,26.0,0,2500,0,81925880,206.307255,0.0,0.0,0.0012
ldpc+mtr2d_8x2,0.9010416666666669,0.2,28.0,0,500,0,16386560,45.230534,0.0,0.0,0.006
ldpc+mtr2d_8x2,0.9010416666666669,0.2,30.0,0,500,0,16386560,44.800187,0.0,0.0,0.006
