family,rate,iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
ldpc+mtr1d,0.9010416666666669,0.0,log10_fsr_linear_vs_snr,4,15.0,17.0,0.0033333333333333335,0.156,-0.8397519927798274,11.769196432813912,0.9962147631537628,,1e-08,-8.0,23.541708269571387,6.541708269571387
ldpc+mtr1d,0.9010416666666669,0.0,log10_fsr_linear_vs_snr,4,15.0,17.0,0.0033333333333333335,0.156,-0.8397519927798274,11.769196432813912,0.9962147631537628,,1e-09,-9.0,24.73253604800833,7.732536048008331
ldpc+mtr1d,0.9010416666666669,0.0,log10_fsr_linear_vs_snr,4,15.0,17.0,0.0033333333333333335,0.156,-0.8397519927798274,11.769196432813912,0.9962147631537628,,1e-10,-10.0,25.92336382644528,8.923363826445279
ldpc+mtr1d,0.9010416666666669,0.2,log10_fsr_linear_vs_snr,9,22.0,24.0,0.0006666666666666666,0.102,-1.1055282023262858,23.446321455792415,0.9583541241811795,,1e-08,-8.0,28.444612620123227,4.444612620123227
ldpc+mtr1d,0.9010416666666669,0.2,log10_fsr_linear_vs_snr,9,22.0,24.0,0.0006666666666666666,0.102,-1.1055282023262858,23.446321455792415,0.9583541241811795,,1e-09,-9.0,29.349157613091993,5.349157613091993
ldpc+mtr1d,0.9010416666666669,0.2,log10_fsr_linear_vs_snr,9,22.0,24.0,0.0006666666666666666,0.102,-1.1055282023262858,23.446321455792415,0.9583541241811795,,1e-10,-10.0,30.253702606060756,6.253702606060756
ldpc+mtr2d_8x2,0.9010416666666669,0.0,log10_fsr_linear_vs_snr,6,15.0,17.5,0.001,0.206,-0.9848068366214998,14.033267467327464,0.9817493273680321,,1e-08,-8.0,22.373186951986725,4.873186951986725
ldpc+mtr2d_8x2,0.9010416666666669,0.0,log10_fsr_linear_vs_snr,6,15.0,17.5,0.001,0.206,-0.9848068366214998,14.033267467327464,0.9817493273680321,,1e-09,-9.0,23.388614508755747,5.888614508755747
ldpc+mtr2d_8x2,0.9010416666666669,0.0,log10_fsr_linear_vs_snr,6,15.0,17.5,0.001,0.206,-0.9848068366214998,14.033267467327464,0.9817493273680321,,1e-10,-10.0,24.40404206552477,6.90404206552477
ldpc+mtr2d_8x2,0.9010416666666669,0.2,log10_fsr_linear_vs_snr,10,22.0,24.25,0.001,0.09257142857142857,-0.8923609687036683,18.58808567429853,0.9686866622563226,,1e-08,-8.0,29.795213603888357,5.545213603888357
ldpc+mtr2d_8x2,0.9010416666666669,0.2,log10_fsr_linear_vs_snr,10,22.0,24.25,0.001,0.09257142857142857,-0.8923609687036683,18.58808567429853,0.9686866622563226,,1e-09,-9.0,30.915836350816317,6.665836350816317
ldpc+mtr2d_8x2,0.9010416666666669,0.2,log10_fsr_linear_vs_snr,10,22.0,24.25,0.001,0.09257142857142857,-0.8923609687036683,18.58808567429853,0.9686866622563226,,1e-10,-10.0,32.03645909774428,7.786459097744277
