family,rate,snr_db,iti_coeff,num_bits,bit_errors,BER,block_errors,block_error_rate,seed,runtime_sec,name,pre_ecc_ber,final_ldpc_input_ber,inner_channel_ber,outer_ldpc_rate,inner_rate,inner_code,inner_demapper,configured_inner_demapper,channel_detector,equalizer_iterations,channel_llr_clip,turbo_iterations,turbo_rounds,turbo_llr_clip,turbo_damping,demapper_chunk,n,k,num_frames,max_iters,method,scale,decoder,sigma,boundary,target_ber,hit_target,sector_bits,sector_bytes,sector_count,sector_discarded_bits,sector_errors,sector_error_rate,FSR,inner_encoder,outer_bits_per_frame,inner_bits_per_track,blocks_per_track_pair,pad_bits,pad_bits_per_track_pair,tx_trellis_transition_violations,tx_trellis_transition_count,tx_trellis_transition_violation_rate,trellis_boundary_down_mtr,trellis_boundary_max_checker_run,demapped_bits_per_frame
ldpc+mtr2d_8x2,0.9010416666666667,15.0,0.0,32769660,1328,4.0525290772012895e-05,227,0.011983951008341253,101,957.731401,highrate_k15_snrscan_iti0_tail_1000sector,4.4169922218702706e-05,4.4169922218702706e-05,8.221368739661423e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.1778279410038923,zero,0.01,True,32768,4096.0,1000,1660,205,0.205,0.205,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,15.5,0.0,32769660,466,1.4220471008853921e-05,55,0.0029036004645760743,101,397.777225,highrate_k15_snrscan_iti0_tail_1000sector,1.1585072560682316e-05,1.1585072560682316e-05,2.3096821877309682e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.16788040181225602,zero,0.01,True,32768,4096.0,1000,1660,51,0.051,0.051,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,16.0,0.0,32769660,92,2.807474963121375e-06,19,0.0010030619786717348,101,185.178531,highrate_k15_snrscan_iti0_tail_1000sector,3.6661622027475685e-06,3.6661622027475685e-06,8.248864956182029e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.15848931924611134,zero,0.01,True,32768,4096.0,1000,1660,19,0.019,0.019,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,16.5,0.0,32769660,33,1.007029062858754e-06,6,0.0003167564143173899,101,122.500193,highrate_k15_snrscan_iti0_tail_1000sector,1.3198183929891247e-06,1.3198183929891247e-06,2.474659486854609e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.14962356560944334,zero,0.01,True,32768,4096.0,1000,1660,6,0.006,0.006,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,17.0,0.0,32769660,6,1.830961932470462e-07,1,5.279273571956499e-05,101,88.667566,highrate_k15_snrscan_iti0_tail_1000sector,2.0530508335386385e-07,2.0530508335386385e-07,5.499243304121353e-08,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.14125375446227545,zero,0.01,True,32768,4096.0,1000,1660,1,0.001,0.001,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,17.5,0.0,32769660,9,2.746442898705693e-07,1,5.279273571956499e-05,101,96.684892,highrate_k15_snrscan_iti0_tail_1000sector,2.6396367859782494e-07,2.6396367859782494e-07,2.7496216520606764e-08,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.1333521432163324,zero,0.01,True,32768,4096.0,1000,1660,1,0.001,0.001,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,18.0,0.0,32769660,0,0.0,0,0.0,101,87.948886,highrate_k15_snrscan_iti0_tail_1000sector,0.0,0.0,0.0,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.12589254117941673,zero,0.01,True,32768,4096.0,1000,1660,0,0.0,0.0,blockwise,1800,1920,240,0,0,0,2263569,0.0,8,8,1800
