family,rate,snr_db,iti_coeff,num_bits,bit_errors,BER,block_errors,block_error_rate,seed,runtime_sec,name,pre_ecc_ber,final_ldpc_input_ber,inner_channel_ber,outer_ldpc_rate,inner_rate,inner_code,inner_demapper,configured_inner_demapper,channel_detector,equalizer_iterations,channel_llr_clip,turbo_iterations,turbo_rounds,turbo_llr_clip,turbo_damping,demapper_chunk,n,k,num_frames,max_iters,method,scale,decoder,sigma,boundary,target_ber,hit_target,sector_bits,sector_bytes,sector_count,sector_discarded_bits,sector_errors,sector_error_rate,FSR,inner_encoder,outer_bits_per_frame,inner_bits_per_track,blocks_per_track_pair,pad_bits,pad_bits_per_track_pair,tx_trellis_transition_violations,tx_trellis_transition_count,tx_trellis_transition_violation_rate,trellis_boundary_down_mtr,trellis_boundary_max_checker_run,demapped_bits_per_frame
ldpc+mtr2d_8x2,0.9010416666666667,8.0,0.0,16386560,1870120,0.11412523433838463,9472,1.0,1004,926.044221,highrate_k15_500sector_chunk_004,0.053764487143393394,0.053764487143393394,0.010885097744228604,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.3981071705534972,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,8.0,0.2,16386560,3182351,0.19420494600453053,9472,1.0,1004,928.330425,highrate_k15_500sector_chunk_004,0.11376460444819819,0.11376460444819819,0.024717203776041665,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.3981071705534972,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,10.0,0.0,16386560,514305,0.031385782006717704,9372,0.9894425675675675,1004,957.881462,highrate_k15_500sector_chunk_004,0.015560834271771773,0.015560834271771773,0.0029990256369650903,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.31622776601683794,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,10.0,0.2,16386560,2099519,0.12812445076941104,9472,1.0,1004,951.933621,highrate_k15_500sector_chunk_004,0.06250504410660661,0.06250504410660661,0.012763165998029279,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.31622776601683794,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,12.0,0.0,16386560,53225,0.0032480886775503827,5146,0.543285472972973,1004,952.452193,highrate_k15_500sector_chunk_004,0.002808042417417417,0.002808042417417417,0.0005351298564189189,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.251188643150958,zero,0.01,True,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,12.0,0.2,16386560,1194265,0.07288076325964693,9471,0.9998944256756757,1004,941.520891,highrate_k15_500sector_chunk_004,0.0323363597972973,0.0323363597972973,0.006386036915822072,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.251188643150958,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,14.0,0.0,16386560,3947,0.00024086812607405092,592,0.0625,1004,950.994431,highrate_k15_500sector_chunk_004,0.00022874436936936936,0.00022874436936936936,4.393431517454955e-05,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.19952623149688797,zero,0.01,True,32768,4096.0,500,2560,350,0.7,0.7,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,14.0,0.2,16386560,530276,0.032360422199656305,9398,0.9921875,1004,947.038597,highrate_k15_500sector_chunk_004,0.01582740944069069,0.01582740944069069,0.003073532516891892,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.19952623149688797,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
