iti_coeff,detector_iti_coeff,fit_model,fit_points,fit_min_snr_db,fit_max_snr_db,fit_min_fsr,fit_max_fsr,slope_log10_fsr_per_db,intercept_log10_fsr,r2_log10_fsr,fit_note,target_fsr,target_log10_fsr,estimated_snr_db,extrapolation_beyond_fit_max_db
0.15,0.14,log10_fsr_linear_vs_snr,3,13.0,14.0,0.006,0.072,-1.0791812460476198,12.780774737247835,0.8963912424053787,,0.01,-2.0,13.696285764213162,-0.3037142357868383
0.15,0.14,log10_fsr_linear_vs_snr,3,13.0,14.0,0.006,0.072,-1.0791812460476198,12.780774737247835,0.8963912424053787,,0.001,-3.0,14.622914172242291,0.6229141722422913
0.15,0.14,log10_fsr_linear_vs_snr,3,13.0,14.0,0.006,0.072,-1.0791812460476198,12.780774737247835,0.8963912424053787,,0.0001,-4.0,15.549542580271423,1.5495425802714227
0.15,0.15,log10_fsr_linear_vs_snr,3,13.0,14.0,0.004,0.068,-1.230448921378269,14.804626085177437,0.9955607718313162,,0.01,-2.0,13.657313028771636,-0.342686971228364
0.15,0.15,log10_fsr_linear_vs_snr,3,13.0,14.0,0.004,0.068,-1.230448921378269,14.804626085177437,0.9955607718313162,,0.001,-3.0,14.470024538063598,0.4700245380635977
0.15,0.15,log10_fsr_linear_vs_snr,3,13.0,14.0,0.004,0.068,-1.230448921378269,14.804626085177437,0.9955607718313162,,0.0001,-4.0,15.28273604735556,1.2827360473555594
0.15,0.16,log10_fsr_linear_vs_snr,3,13.0,14.0,0.004,0.068,-1.2304489213782681,14.841007574985783,0.998730729921652,,0.01,-2.0,13.686880684264073,-0.31311931573592666
0.15,0.16,log10_fsr_linear_vs_snr,3,13.0,14.0,0.004,0.068,-1.2304489213782681,14.841007574985783,0.998730729921652,,0.001,-3.0,14.499592193556037,0.4995921935560368
0.15,0.16,log10_fsr_linear_vs_snr,3,13.0,14.0,0.004,0.068,-1.2304489213782681,14.841007574985783,0.998730729921652,,0.0001,-4.0,15.312303702847998,1.3123037028479985
0.15,0.18,log10_fsr_linear_vs_snr,4,13.0,14.5,0.002,0.084,-1.0785253232948062,12.905845827246955,0.9962401865275836,,0.01,-2.0,13.820580291717974,-0.6794197082820261
0.15,0.18,log10_fsr_linear_vs_snr,4,13.0,14.5,0.002,0.084,-1.0785253232948062,12.905845827246955,0.9962401865275836,,0.001,-3.0,14.747772243915334,0.2477722439153336
0.15,0.18,log10_fsr_linear_vs_snr,4,13.0,14.5,0.002,0.084,-1.0785253232948062,12.905845827246955,0.9962401865275836,,0.0001,-4.0,15.674964196112695,1.174964196112695
0.2,0.16,log10_fsr_linear_vs_snr,5,13.0,15.0,0.004,0.15,-0.7552902931011494,8.772238384376388,0.8457525095289962,,0.01,-2.0,14.26238160713891,-0.7376183928610907
0.2,0.16,log10_fsr_linear_vs_snr,5,13.0,15.0,0.004,0.15,-0.7552902931011494,8.772238384376388,0.8457525095289962,,0.001,-3.0,15.586375850324659,0.586375850324659
0.2,0.16,log10_fsr_linear_vs_snr,5,13.0,15.0,0.004,0.15,-0.7552902931011494,8.772238384376388,0.8457525095289962,,0.0001,-4.0,16.91037009351041,1.9103700935104087
0.2,0.17,log10_fsr_linear_vs_snr,5,13.0,15.0,0.002,0.122,-0.7417924736375626,8.37188112888925,0.6544965452046704,,0.01,-2.0,13.982187063759449,-1.017812936240551
0.2,0.17,log10_fsr_linear_vs_snr,5,13.0,15.0,0.002,0.122,-0.7417924736375626,8.37188112888925,0.6544965452046704,,0.001,-3.0,15.330272998220677,0.3302729982206767
0.2,0.17,log10_fsr_linear_vs_snr,5,13.0,15.0,0.002,0.122,-0.7417924736375626,8.37188112888925,0.6544965452046704,,0.0001,-4.0,16.678358932681906,1.6783589326819062
0.2,0.18,log10_fsr_linear_vs_snr,5,13.0,15.0,0.002,0.112,-0.7269357504357361,8.156458642462766,0.6535990483065368,,0.01,-2.0,13.971604280536257,-1.0283957194637434
0.2,0.18,log10_fsr_linear_vs_snr,5,13.0,15.0,0.002,0.112,-0.7269357504357361,8.156458642462766,0.6535990483065368,,0.001,-3.0,15.347241672699987,0.34724167269998674
0.2,0.18,log10_fsr_linear_vs_snr,5,13.0,15.0,0.002,0.112,-0.7269357504357361,8.156458642462766,0.6535990483065368,,0.0001,-4.0,16.722879064863715,1.7228790648637151
0.2,0.19,log10_fsr_linear_vs_snr,5,13.0,15.0,0.002,0.108,-0.7123395065307985,7.940673837325347,0.6476553453024019,,0.01,-2.0,13.954966341454144,-1.0450336585458562
0.2,0.19,log10_fsr_linear_vs_snr,5,13.0,15.0,0.002,0.108,-0.7123395065307985,7.940673837325347,0.6476553453024019,,0.001,-3.0,15.35879133056664,0.3587913305666408
0.2,0.19,log10_fsr_linear_vs_snr,5,13.0,15.0,0.002,0.108,-0.7123395065307985,7.940673837325347,0.6476553453024019,,0.0001,-4.0,16.76261631967914,1.7626163196791396
0.2,0.2,log10_fsr_linear_vs_snr,4,13.0,15.0,0.004,0.106,-0.7173708874735716,8.18615455681573,0.9166970808361463,,0.01,-2.0,14.199286219558212,-0.8007137804417876
0.2,0.2,log10_fsr_linear_vs_snr,4,13.0,15.0,0.004,0.106,-0.7173708874735716,8.18615455681573,0.9166970808361463,,0.001,-3.0,15.593265285981982,0.5932652859819818
0.2,0.2,log10_fsr_linear_vs_snr,4,13.0,15.0,0.004,0.106,-0.7173708874735716,8.18615455681573,0.9166970808361463,,0.0001,-4.0,16.98724435240575,1.9872443524057495
0.25,0.17,log10_fsr_linear_vs_snr,3,14.5,15.5,0.002,0.046,-1.3617278360175937,18.440240564728292,0.993240336998493,,0.01,-2.0,15.010518272510515,-0.48948172748948515
0.25,0.17,log10_fsr_linear_vs_snr,3,14.5,15.5,0.002,0.046,-1.3617278360175937,18.440240564728292,0.993240336998493,,0.001,-3.0,15.744879408084069,0.24487940808406883
0.25,0.17,log10_fsr_linear_vs_snr,3,14.5,15.5,0.002,0.046,-1.3617278360175937,18.440240564728292,0.993240336998493,,0.0001,-4.0,16.479240543657625,0.9792405436576246
0.25,0.18,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.038,-0.8876641588372878,11.308111816002816,0.8846807284650158,,0.01,-2.0,14.992282479259416,-1.0077175207405844
0.25,0.18,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.038,-0.8876641588372878,11.308111816002816,0.8846807284650158,,0.001,-3.0,16.118834666868135,0.11883466686813549
0.25,0.18,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.038,-0.8876641588372878,11.308111816002816,0.8846807284650158,,0.0001,-4.0,17.245386854476852,1.2453868544768518
0.25,0.19,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.03,-0.8612850055101351,10.924186957053376,0.8968230016472568,,0.01,-2.0,15.005702960541429,-0.9942970394585711
0.25,0.19,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.03,-0.8612850055101351,10.924186957053376,0.8968230016472568,,0.001,-3.0,16.166758817316396,0.16675881731639564
0.25,0.19,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.03,-0.8612850055101351,10.924186957053376,0.8968230016472568,,0.0001,-4.0,17.32781467409136,1.3278146740913606
0.25,0.2,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.034,-0.833693603770895,10.592264995026605,0.9911712288093485,,0.01,-2.0,15.104188083092275,-0.895811916907725
0.25,0.2,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.034,-0.833693603770895,10.592264995026605,0.9911712288093485,,0.001,-3.0,16.303669517850658,0.30366951785065766
0.25,0.2,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.034,-0.833693603770895,10.592264995026605,0.9911712288093485,,0.0001,-4.0,17.50315095260904,1.5031509526090403
0.25,0.21,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.042,-0.9489618269170775,12.297790492428806,0.8998848612031283,,0.01,-2.0,15.066770956297043,-0.9332290437029567
0.25,0.21,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.042,-0.9489618269170775,12.297790492428806,0.8998848612031283,,0.001,-3.0,16.120554124002254,0.12055412400225407
0.25,0.21,log10_fsr_linear_vs_snr,4,14.5,16.0,0.002,0.042,-0.9489618269170775,12.297790492428806,0.8998848612031283,,0.0001,-4.0,17.174337291707463,1.174337291707463
