family,rate,snr_db,iti_coeff,num_bits,bit_errors,BER,block_errors,block_error_rate,seed,runtime_sec,name,pre_ecc_ber,final_ldpc_input_ber,inner_channel_ber,outer_ldpc_rate,inner_rate,inner_code,inner_demapper,configured_inner_demapper,channel_detector,equalizer_iterations,channel_llr_clip,turbo_iterations,turbo_rounds,turbo_llr_clip,turbo_damping,demapper_chunk,n,k,num_frames,max_iters,method,scale,decoder,sigma,boundary,target_ber,hit_target,sector_bits,sector_bytes,sector_count,sector_discarded_bits,sector_errors,sector_error_rate,FSR,inner_encoder,outer_bits_per_frame,inner_bits_per_track,blocks_per_track_pair,pad_bits,pad_bits_per_track_pair,tx_trellis_transition_violations,tx_trellis_transition_count,tx_trellis_transition_violation_rate,trellis_boundary_down_mtr,trellis_boundary_max_checker_run,demapped_bits_per_frame
ldpc+mtr2d_8x2,0.9010416666666667,8.0,0.0,16386560,1871801,0.11422781840728011,9472,1.0,1003,921.551154,highrate_k15_500sector_chunk_003,0.053854401276276276,0.053854401276276276,0.01090450802364865,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.3981071705534972,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,8.0,0.2,16386560,3169779,0.1934377318973598,9472,1.0,1003,929.548775,highrate_k15_500sector_chunk_003,0.11360260651276276,0.11360260651276276,0.024663976720861486,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.3981071705534972,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,10.0,0.0,16386560,504254,0.030772413490079677,9376,0.9898648648648649,1003,958.229127,highrate_k15_500sector_chunk_003,0.015368982263513513,0.015368982263513513,0.0029731819221565313,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.31622776601683794,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,10.0,0.2,16386560,2104526,0.1284300060537416,9472,1.0,1003,959.309453,highrate_k15_500sector_chunk_003,0.06258962087087087,0.06258962087087087,0.01277515308277027,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.31622776601683794,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,12.0,0.0,16386560,52050,0.0031763835728792376,5132,0.5418074324324325,1003,954.077058,highrate_k15_500sector_chunk_003,0.002787279466966967,0.002787279466966967,0.0005376592412725225,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.251188643150958,zero,0.01,True,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,12.0,0.2,16386560,1209030,0.0737818065536635,9471,0.9998944256756757,1003,960.037937,highrate_k15_500sector_chunk_003,0.0325488574512012,0.0325488574512012,0.006405722128378378,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.251188643150958,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,14.0,0.0,16386560,3282,0.00020028608811123262,576,0.060810810810810814,1003,913.823646,highrate_k15_500sector_chunk_003,0.0002221166478978979,0.0002221166478978979,4.3879328547297296e-05,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.19952623149688797,zero,0.01,True,32768,4096.0,500,2560,352,0.704,0.704,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,14.0,0.2,16386560,528390,0.03224532787845649,9387,0.9910261824324325,1003,957.136747,highrate_k15_500sector_chunk_003,0.01584887621996997,0.01584887621996997,0.0030664942286036034,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.19952623149688797,zero,0.01,False,32768,4096.0,500,2560,500,1.0,1.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
