family,rate,snr_db,iti_coeff,num_bits,bit_errors,BER,block_errors,block_error_rate,seed,runtime_sec,name,pre_ecc_ber,final_ldpc_input_ber,inner_channel_ber,outer_ldpc_rate,inner_rate,inner_code,inner_demapper,configured_inner_demapper,channel_detector,equalizer_iterations,channel_llr_clip,turbo_iterations,turbo_rounds,turbo_llr_clip,turbo_damping,demapper_chunk,n,k,num_frames,max_iters,method,scale,decoder,sigma,boundary,target_ber,hit_target,sector_bits,sector_bytes,sector_count,sector_discarded_bits,sector_errors,sector_error_rate,FSR,outer_bits_per_frame,inner_bits_per_track,blocks_per_frame,pad_bits,pad_bits_per_frame,tx_trellis_transition_violations,tx_trellis_transition_count,tx_trellis_transition_violation_rate,trellis_boundary_down_mtr,trellis_boundary_max_checker_run,demapped_bits_per_frame
ldpc+mtr1d,0.9010416666666667,22.0,0.2,32769660,733,2.236825160834748e-05,119,0.006282335550628234,101,574.540043,highrate_1dmtr_k15_snrscan_iti02_tail_1000sector,2.076514271636223e-05,2.076514271636223e-05,4.096936261570408e-06,0.9611111111111111,0.9375,mtr1d_L16_K15_m3,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.07943282347242814,zero,0.01,True,32768,4096.0,1000,1660,106,0.106,0.106,1800,1920,120,0,0,0,2254098,0.0,8,8,1800
ldpc+mtr1d,0.9010416666666667,22.25,0.2,32769660,522,1.592936881249302e-05,59,0.0031147714074543343,101,403.726288,highrate_1dmtr_k15_snrscan_iti02_tail_1000sector,1.1057145203486666e-05,1.1057145203486666e-05,2.089712455566114e-06,0.9611111111111111,0.9375,mtr1d_L16_K15_m3,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.07717915155850123,zero,0.01,True,32768,4096.0,1000,1660,59,0.059,0.059,1800,1920,120,0,0,0,2254098,0.0,8,8,1800
ldpc+mtr1d,0.9010416666666667,22.5,0.2,32769660,234,7.140751536634802e-06,32,0.0016893675430260796,101,273.028666,highrate_1dmtr_k15_snrscan_iti02_tail_1000sector,6.4817747744577016e-06,6.4817747744577016e-06,1.2373297434273044e-06,0.9611111111111111,0.9375,mtr1d_L16_K15_m3,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.07498942093324558,zero,0.01,True,32768,4096.0,1000,1660,32,0.032,0.032,1800,1920,120,0,0,0,2254098,0.0,8,8,1800
ldpc+mtr1d,0.9010416666666667,22.75,0.2,32769660,298,9.093777597936629e-06,36,0.0019005384859043396,101,282.30175,highrate_1dmtr_k15_snrscan_iti02_tail_1000sector,6.95104353640939e-06,6.95104353640939e-06,1.2098335269066976e-06,0.9611111111111111,0.9375,mtr1d_L16_K15_m3,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.07286181745132278,zero,0.01,True,32768,4096.0,1000,1660,36,0.036,0.036,1800,1920,120,0,0,0,2254098,0.0,8,8,1800
ldpc+mtr1d,0.9010416666666667,23.0,0.2,32769660,109,3.326247510654673e-06,17,0.0008974765072326048,101,159.364468,highrate_1dmtr_k15_snrscan_iti02_tail_1000sector,3.255552036039841e-06,3.255552036039841e-06,6.324129799739556e-07,0.9611111111111111,0.9375,mtr1d_L16_K15_m3,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.0707945784384138,zero,0.01,True,32768,4096.0,1000,1660,17,0.017,0.017,1800,1920,120,0,0,0,2254098,0.0,8,8,1800
ldpc+mtr1d,0.9010416666666667,23.25,0.2,32769660,89,2.715926866497852e-06,6,0.0003167564143173899,101,109.933286,highrate_1dmtr_k15_snrscan_iti02_tail_1000sector,1.1731719048792219e-06,1.1731719048792219e-06,2.474659486854609e-07,0.9611111111111111,0.9375,mtr1d_L16_K15_m3,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.06878599123088075,zero,0.01,True,32768,4096.0,1000,1660,6,0.006,0.006,1800,1920,120,0,0,0,2254098,0.0,8,8,1800
ldpc+mtr1d,0.9010416666666667,23.5,0.2,32769660,27,8.239328696117079e-07,4,0.00021117094287825995,101,97.801447,highrate_1dmtr_k15_snrscan_iti02_tail_1000sector,1.2904890953671442e-06,1.2904890953671442e-06,1.9247351564424735e-07,0.9611111111111111,0.9375,mtr1d_L16_K15_m3,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.06683439175686146,zero,0.01,True,32768,4096.0,1000,1660,4,0.004,0.004,1800,1920,120,0,0,0,2254098,0.0,8,8,1800
ldpc+mtr1d,0.9010416666666667,23.75,0.2,32769660,10,3.0516032207841033e-07,1,5.279273571956499e-05,101,86.706725,highrate_1dmtr_k15_snrscan_iti02_tail_1000sector,4.6926876195168876e-07,4.6926876195168876e-07,5.499243304121353e-08,0.9611111111111111,0.9375,mtr1d_L16_K15_m3,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.06493816315762113,zero,0.01,True,32768,4096.0,1000,1660,1,0.001,0.001,1800,1920,120,0,0,0,2254098,0.0,8,8,1800
ldpc+mtr1d,0.9010416666666667,24.0,0.2,32769660,5,1.5258016103920517e-07,1,5.279273571956499e-05,101,87.154031,highrate_1dmtr_k15_snrscan_iti02_tail_1000sector,1.759757857318833e-07,1.759757857318833e-07,5.499243304121353e-08,0.9611111111111111,0.9375,mtr1d_L16_K15_m3,hard_codebook,hard_codebook,soft_awgn,0,20.0,0,1,20.0,0.0,64,1800,1730,18942,30,minsum,0.75,ldpc,0.06309573444801933,zero,0.01,True,32768,4096.0,1000,1660,1,0.001,0.001,1800,1920,120,0,0,0,2254098,0.0,8,8,1800
