family,rate,snr_db,iti_coeff,num_bits,bit_errors,BER,block_errors,block_error_rate,seed,runtime_sec,name,pre_ecc_ber,final_ldpc_input_ber,inner_channel_ber,outer_ldpc_rate,inner_rate,inner_code,inner_demapper,configured_inner_demapper,channel_detector,equalizer_iterations,channel_llr_clip,turbo_iterations,turbo_rounds,turbo_llr_clip,turbo_damping,demapper_chunk,n,k,num_frames,max_iters,method,scale,decoder,sigma,boundary,target_ber,hit_target,detector_tap_source,detector_taps_matched,true_iti_coeff,detector_iti_coeff,true_tap_c0,detector_tap_c0,detector_tap_delta_c0,true_tap_c_down_prev,detector_tap_c_down_prev,detector_tap_delta_c_down_prev,true_tap_c_down_next,detector_tap_c_down_next,detector_tap_delta_c_down_next,true_tap_c_cross_up,detector_tap_c_cross_up,detector_tap_delta_c_cross_up,true_tap_c_cross_down,detector_tap_c_cross_down,detector_tap_delta_c_cross_down,sector_bits,sector_bytes,sector_count,sector_discarded_bits,sector_errors,sector_error_rate,FSR,inner_encoder,outer_bits_per_frame,inner_bits_per_track,blocks_per_track_pair,pad_bits,pad_bits_per_track_pair,tx_trellis_transition_violations,tx_trellis_transition_count,tx_trellis_transition_violation_rate,trellis_boundary_down_mtr,trellis_boundary_max_checker_run,demapped_bits_per_frame
ldpc+mtr2d_8x2,0.9010416666666667,15.0,0.3,16386560,1290,7.872305108576784e-05,213,0.022487331081081082,320,3445.267681,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_lowband_500sector,8.05297484984985e-05,8.05297484984985e-05,1.6056095157657656e-05,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.1778279410038923,zero,0.01,True,ldpc_override,False,0.3,0.17,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.17,-0.12999999999999998,0.3,0.17,-0.12999999999999998,32768,4096.0,500,2560,166,0.332,0.332,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,15.0,0.3,16386560,1192,7.274254022808936e-05,199,0.02100929054054054,320,3429.454768,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_lowband_500sector,7.613081831831832e-05,7.613081831831832e-05,1.5286282376126126e-05,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.1778279410038923,zero,0.01,True,ldpc_override,False,0.3,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.18,-0.12,0.3,0.18,-0.12,32768,4096.0,500,2560,154,0.308,0.308,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,15.5,0.3,16386560,520,3.1733322918294016e-05,78,0.008234797297297296,320,3179.782225,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_lowband_500sector,3.448761261261261e-05,3.448761261261261e-05,6.598395270270271e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.16788040181225602,zero,0.01,True,ldpc_override,False,0.3,0.17,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.17,-0.12999999999999998,0.3,0.17,-0.12999999999999998,32768,4096.0,500,2560,73,0.146,0.146,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,15.5,0.3,16386560,465,2.8376913763474456e-05,74,0.0078125,320,3164.475447,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_lowband_500sector,3.296265015015015e-05,3.296265015015015e-05,6.268475506756757e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.16788040181225602,zero,0.01,True,ldpc_override,False,0.3,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.18,-0.12,0.3,0.18,-0.12,32768,4096.0,500,2560,72,0.144,0.144,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,16.0,0.3,16386560,438,2.6729221996563037e-05,50,0.005278716216216216,320,3009.197441,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_lowband_500sector,1.8651463963963963e-05,1.8651463963963963e-05,3.629117398648649e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.15848931924611134,zero,0.01,True,ldpc_override,False,0.3,0.17,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.17,-0.12999999999999998,0.3,0.17,-0.12999999999999998,32768,4096.0,500,2560,42,0.084,0.084,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,16.0,0.3,16386560,413,2.5203581471645057e-05,47,0.004961993243243243,320,2989.618157,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_lowband_500sector,1.736111111111111e-05,1.736111111111111e-05,3.4091708896396395e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.15848931924611134,zero,0.01,True,ldpc_override,False,0.3,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.18,-0.12,0.3,0.18,-0.12,32768,4096.0,500,2560,40,0.08,0.08,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,16.5,0.3,16386560,105,6.407690204655522e-06,19,0.002005912162162162,320,2872.449025,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_lowband_500sector,7.742117117117118e-06,7.742117117117118e-06,1.539625563063063e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.14962356560944334,zero,0.01,True,ldpc_override,False,0.3,0.17,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.17,-0.12999999999999998,0.3,0.17,-0.12999999999999998,32768,4096.0,500,2560,19,0.038,0.038,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,16.5,0.3,16386560,111,6.773843930635838e-06,20,0.0021114864864864866,320,2886.527808,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_lowband_500sector,8.094031531531532e-06,8.094031531531532e-06,1.7045854448198198e-06,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.14962356560944334,zero,0.01,True,ldpc_override,False,0.3,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.18,-0.12,0.3,0.18,-0.12,32768,4096.0,500,2560,20,0.04,0.04,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,17.0,0.3,16386560,53,3.234357912826121e-06,8,0.0008445945945945946,320,2819.074175,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_lowband_500sector,3.636448948948949e-06,3.636448948948949e-06,6.048528997747747e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.14125375446227545,zero,0.01,True,ldpc_override,False,0.3,0.17,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.17,-0.12999999999999998,0.3,0.17,-0.12999999999999998,32768,4096.0,500,2560,9,0.018,0.018,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,17.0,0.3,16386560,63,3.844614122793314e-06,10,0.0010557432432432433,320,2827.996932,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_lowband_500sector,4.281625375375375e-06,4.281625375375375e-06,7.698127815315315e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.14125375446227545,zero,0.01,True,ldpc_override,False,0.3,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.18,-0.12,0.3,0.18,-0.12,32768,4096.0,500,2560,11,0.022,0.022,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
